Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/6_user/2_login,Chrome 121.0.0.0,,,12-02-2024 11:40:40,12-02-2024 11:41:00,20.214s,PASSED
ruslan.initial.openBrowser(),Chrome 121.0.0.0,,,12-02-2024 11:40:40,12-02-2024 11:40:48,7.736s,PASSED
"click(findTestObject(""6_user/Page_Advantage Shopping/1_profile""))",Chrome 121.0.0.0,,,12-02-2024 11:40:48,12-02-2024 11:40:53,5.243s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/19_username_login_field""), username)",Chrome 121.0.0.0,,,12-02-2024 11:40:53,12-02-2024 11:40:54,1.184s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/20_password_login_field""), password)",Chrome 121.0.0.0,,,12-02-2024 11:40:54,12-02-2024 11:40:56,1.958s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/17_sign_in""))",Chrome 121.0.0.0,,,12-02-2024 11:40:56,12-02-2024 11:40:57,0.754s,PASSED
"data = findTestData(""2_login"").getValue(1, 1)",Chrome 121.0.0.0,,,12-02-2024 11:40:57,12-02-2024 11:40:57,0.097s,PASSED
"to = findTestObject(""Object Repository/6_user/Page_Advantage Shopping/19_username_login_field"")",Chrome 121.0.0.0,,,12-02-2024 11:40:57,12-02-2024 11:40:57,0.093s,PASSED
usernameFromObjectRepository = getText(to),Chrome 121.0.0.0,,,12-02-2024 11:40:57,12-02-2024 11:40:58,1.016s,PASSED
if (data.equals(usernameFromObjectRepository)),Chrome 121.0.0.0,,,12-02-2024 11:40:58,12-02-2024 11:40:58,0.002s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 11:40:58,12-02-2024 11:40:58,0.019s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 11:41:00,12-02-2024 11:41:00,0.001s,PASSED
,,,,,,,
Test Cases/6_user/2_login,Chrome 121.0.0.0,,,12-02-2024 11:41:00,12-02-2024 11:41:20,19.368s,PASSED
ruslan.initial.openBrowser(),Chrome 121.0.0.0,,,12-02-2024 11:41:01,12-02-2024 11:41:09,8.193s,PASSED
"click(findTestObject(""6_user/Page_Advantage Shopping/1_profile""))",Chrome 121.0.0.0,,,12-02-2024 11:41:09,12-02-2024 11:41:13,4.393s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/19_username_login_field""), username)",Chrome 121.0.0.0,,,12-02-2024 11:41:13,12-02-2024 11:41:14,1.144s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/20_password_login_field""), password)",Chrome 121.0.0.0,,,12-02-2024 11:41:14,12-02-2024 11:41:16,1.642s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/17_sign_in""))",Chrome 121.0.0.0,,,12-02-2024 11:41:16,12-02-2024 11:41:17,0.619s,PASSED
"data = findTestData(""2_login"").getValue(1, 1)",Chrome 121.0.0.0,,,12-02-2024 11:41:17,12-02-2024 11:41:17,0.072s,PASSED
"to = findTestObject(""Object Repository/6_user/Page_Advantage Shopping/19_username_login_field"")",Chrome 121.0.0.0,,,12-02-2024 11:41:17,12-02-2024 11:41:17,0.085s,PASSED
usernameFromObjectRepository = getText(to),Chrome 121.0.0.0,,,12-02-2024 11:41:17,12-02-2024 11:41:18,0.946s,PASSED
