Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/15_check_exclusive_offers""))",Chrome 121.0.0.0,,,12-02-2024 09:27:53,12-02-2024 09:27:54,0.783s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/16_Register""))",Chrome 121.0.0.0,,,12-02-2024 09:27:54,12-02-2024 09:27:54,0.722s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 09:27:57,12-02-2024 09:27:57,0.001s,PASSED
,,,,,,,
Test Cases/6_user/1_registrasi,Chrome 121.0.0.0,,,12-02-2024 09:27:57,12-02-2024 09:28:56,58.489s,PASSED
ruslan.initial.openBrowser(),Chrome 121.0.0.0,,,12-02-2024 09:27:57,12-02-2024 09:28:08,10.543s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/1_profile""))",Chrome 121.0.0.0,,,12-02-2024 09:28:08,12-02-2024 09:28:14,6.254s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/2_create_new_account""))",Chrome 121.0.0.0,,,12-02-2024 09:28:14,12-02-2024 09:28:15,0.852s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/3_username""), username)",Chrome 121.0.0.0,,,12-02-2024 09:28:15,12-02-2024 09:28:24,9.238s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/4_email""), email)",Chrome 121.0.0.0,,,12-02-2024 09:28:24,12-02-2024 09:28:26,2.190s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/5_password""), password)",Chrome 121.0.0.0,,,12-02-2024 09:28:26,12-02-2024 09:28:28,1.848s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/6_confirm_password""), confirm_password)",Chrome 121.0.0.0,,,12-02-2024 09:28:28,12-02-2024 09:28:30,1.408s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/7_first_name""), first_name)",Chrome 121.0.0.0,,,12-02-2024 09:28:30,12-02-2024 09:28:31,1.295s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/8_last_name""), last_name)",Chrome 121.0.0.0,,,12-02-2024 09:28:31,12-02-2024 09:28:32,1.456s,PASSED
